goos: darwin
goarch: arm64
pkg: github.com/robby031/concurrent-map
cpu: Apple M4
BenchmarkSingleInsertAbsent-10                	 5842536	       237.7 ns/op	     116 B/op	       3 allocs/op
BenchmarkSingleInsertAbsent-10                	 6809103	       223.7 ns/op	     106 B/op	       3 allocs/op
BenchmarkSingleInsertAbsentSyncMap-10         	 6159630	       291.2 ns/op	     125 B/op	       3 allocs/op
BenchmarkSingleInsertAbsentSyncMap-10         	 6104652	       293.7 ns/op	     125 B/op	       3 allocs/op
BenchmarkSingleInsertAbsentSyncMap-10         	 6063234	       295.2 ns/op	     125 B/op	       3 allocs/op
BenchmarkSingleInsertAbsentSyncMap-10         	 6128600	       298.5 ns/op	     125 B/op	       3 allocs/op
BenchmarkSingleInsertAbsentSyncMap-10         	 6123360	       298.0 ns/op	     125 B/op	       3 allocs/op
BenchmarkSingleInsertAbsentSyncMap-10         	 6131296	       297.3 ns/op	     125 B/op	       3 allocs/op
BenchmarkSingleInsertAbsentSyncMap-10         	 5941659	       295.3 ns/op	     125 B/op	       3 allocs/op
BenchmarkSingleInsertAbsentSyncMap-10         	 6155200	       299.4 ns/op	     125 B/op	       3 allocs/op
BenchmarkSingleInsertAbsentSyncMap-10         	 6091036	       301.1 ns/op	     125 B/op	       3 allocs/op
BenchmarkSingleInsertAbsentSyncMap-10         	 6020319	       301.7 ns/op	     125 B/op	       3 allocs/op
BenchmarkSingleInsertPresent-10               	51555249	        22.93 ns/op	      24 B/op	       1 allocs/op
BenchmarkSingleInsertPresent-10               	52341080	        22.97 ns/op	      24 B/op	       1 allocs/op
BenchmarkSingleInsertPresent-10               	52040607	        22.96 ns/op	      24 B/op	       1 allocs/op
BenchmarkSingleInsertPresent-10               	51540116	        23.11 ns/op	      24 B/op	       1 allocs/op
BenchmarkSingleInsertPresent-10               	51823728	        23.01 ns/op	      24 B/op	       1 allocs/op
BenchmarkSingleInsertPresent-10               	52192538	        22.98 ns/op	      24 B/op	       1 allocs/op
BenchmarkSingleInsertPresent-10               	51869833	        23.02 ns/op	      24 B/op	       1 allocs/op
BenchmarkSingleInsertPresent-10               	52558292	        22.98 ns/op	      24 B/op	       1 allocs/op
BenchmarkSingleInsertPresent-10               	52436571	        22.89 ns/op	      24 B/op	       1 allocs/op
BenchmarkSingleInsertPresent-10               	52263763	        22.89 ns/op	      24 B/op	       1 allocs/op
BenchmarkSingleInsertPresentSyncMap-10        	49531599	        23.92 ns/op	      48 B/op	       1 allocs/op
BenchmarkSingleInsertPresentSyncMap-10        	49251394	        24.04 ns/op	      48 B/op	       1 allocs/op
